0.2 2
0.5 10
0.1 20
0.05 3
0.5 50
0.05 22
100
9916235 0 2020 7 22 21 0 7 8 2 27
9916236 0 2020 7 22 21 0 8 9 3 26
9916238 1 2020 7 22 21 1 8 2 0 5
9916239 0 2020 7 22 21 1 19 14 9 90
9916240 1 2020 7 22 21 1 7 2 0 17
9916241 1 2020 7 22 22 1 5 1 0 5
9916242 0 2020 7 22 20 1 26 31 11 85
9916243 0 2020 7 22 22 1 28 18 0 73
9916244 1 2020 7 22 22 1 5 3 0 4
9916246 0 2020 7 22 22 0 6 5 3 21
9916248 1 2020 7 22 23 1 5 1 0 3
9916249 1 2020 7 22 23 1 5 1 0 6
9916250 0 2020 7 22 23 1 7 2 1 20
9916251 0 2020 7 22 23 1 15 31 3 40
9916252 1 2020 7 22 23 1 2 4 0 6
9916253 1 2020 7 22 23 1 5 8 2 4
9916254 1 2020 7 23 0 1 3 1 2 6
9916255 1 2020 7 23 0 1 7 1 1 4
9916256 0 2020 7 23 1 1 43 51 10 166
9916257 1 2020 7 23 1 1 3 2 0 3
9916258 1 2020 7 23 1 1 6 1 0 19
9916259 1 2020 7 23 1 1 2 1 3 5
9916260 1 2020 7 23 1 1 3 1 3 5
9916261 1 2020 7 23 2 1 4 2 0 3
9916262 0 2020 7 23 2 1 11 7 1 12
9916263 1 2020 7 23 2 0 4 5 1 12
9916266 1 2020 7 23 4 1 5 1 0 5
9916267 1 2020 7 23 4 1 3 2 2 17
9916268 1 2020 7 23 6 1 3 2 3 5
9916269 1 2020 7 23 7 1 3 3 3 10
9916278 1 2020 7 23 8 0 2 0 2 2
9916284 1 2020 7 23 8 1 6 5 1 3
9916286 1 2020 7 23 9 0 7 11 1 14
9916293 1 2020 7 23 10 1 6 16 5 26
9916294 0 2020 7 23 10 1 5 2 1 19
9916296 0 2020 7 23 11 1 48 61 6 128
9916297 1 2020 7 23 11 1 2 2 2 8
9916299 1 2020 7 23 11 1 4 4 0 5
9916300 1 2020 7 23 11 0 3 2 4 3
9916301 1 2020 7 23 11 1 3 5 1 5
9916302 1 2020 7 23 11 1 3 1 0 3
9916303 0 2020 7 23 11 1 72 116 17 405
9916308 1 2020 7 23 12 0 2 1 2 3
9916309 1 2020 7 23 12 1 5 2 0 2
9916310 0 2020 7 23 13 0 17 33 2 81
9916311 1 2020 7 23 13 1 5 4 0 7
9916313 1 2020 7 23 13 0 1 0 0 2
9916314 0 2020 7 23 12 1 33 22 5 195
9916317 0 2020 7 23 14 1 18 12 6 88
9916319 0 2020 7 23 10 0 8 8 2 11
9916320 0 2020 7 23 14 0 12 1 0 2
9916321 0 2020 7 23 14 1 38 56 4 139
9916322 0 2020 7 23 14 1 25 20 5 81
9916323 1 2020 7 23 14 0 1 0 0 3
9916326 1 2020 7 23 15 0 1 0 0 6
9916328 0 2020 7 23 15 1 17 38 3 58
9916329 0 2020 7 23 11 0 8 5 2 18
9916330 0 2020 7 23 16 1 7 6 8 33
9916331 0 2020 7 23 11 1 5 3 1 16
9916333 0 2020 7 23 17 0 47 44 3 117
9916334 0 2020 7 23 17 0 75 141 32 319
9916335 0 2020 7 23 17 0 70 56 20 256
9916336 1 2020 7 23 15 0 4 4 2 14
9916337 1 2020 7 23 18 1 4 1 1 5
9916338 1 2020 7 23 18 1 3 2 1 3
9916340 0 2020 7 23 18 1 5 2 1 9
9916341 0 2020 7 23 19 0 10 10 1 19
9916342 0 2020 7 23 19 1 9 5 6 25
9916343 1 2020 7 23 18 1 4 2 1 9
9916344 0 2020 7 23 19 1 15 20 3 78
9916345 1 2020 7 23 19 1 6 1 2 4
9916346 0 2020 7 23 20 1 24 30 2 61
9916347 0 2020 7 23 20 0 16 19 4 44
9916348 1 2020 7 23 20 1 5 1 0 3
9916349 1 2020 7 23 20 1 2 1 2 1
9916350 1 2020 7 23 20 0 2 0 0 1
9916351 1 2020 7 23 20 0 2 0 0 0
9916352 1 2020 7 23 20 0 3 1 1 0
9916353 1 2020 7 23 20 0 2 0 0 1
9916354 0 2020 7 23 20 1 12 17 3 34
9916356 0 2020 7 23 20 1 23 25 2 62
9916358 1 2020 7 23 20 1 4 2 0 6
9916359 1 2020 7 23 21 0 1 0 0 1
9916361 1 2020 7 23 21 0 3 1 1 3
9916362 1 2020 7 23 22 0 2 0 0 2
9916363 0 2020 7 23 22 1 13 10 1 28
9916364 1 2020 7 23 22 1 3 3 3 6
9916365 1 2020 7 23 22 1 11 6 2 18
9916366 1 2020 7 23 23 1 5 5 1 9
9916367 1 2020 7 23 23 1 5 1 0 6
9916368 1 2020 7 23 23 0 3 0 1 0
9916370 1 2020 7 23 23 1 3 2 2 4
9916371 0 2020 7 24 0 0 29 28 1 67
9916372 1 2020 7 24 0 1 1 2 2 4
9916373 1 2020 7 24 0 1 1 1 1 4
9916374 1 2020 7 24 0 1 4 3 0 6
9916375 0 2020 7 24 0 1 51 77 11 250
9916376 1 2020 7 24 1 1 4 3 0 8
9916377 1 2020 7 24 1 1 4 2 0 5
9916378 1 2020 7 24 1 1 3 1 0 3
